BAM,R1 FASTQs,R2 FASTQs,Paired-End,Cropped,Pooled,Duplicate FASTQs,Restricted,BAM Read Length,Mapped Reads,Unmapped Reads,Date Created,Donor,Biosample Ontology,BAM md5sum
ENCFF917YUP,"ENCFF116PQT, ENCFF245PQL",,False,False,True,False,False,36,39343046,3549074,2016-12-19T07:21:03.829598+00:00,ENCDO711IWZ,tissue_UBERON_0002370,aa5fbceaab8f95f3569a68c24342c348
ENCFF629XDJ,"ENCFF842VLR, ENCFF512OCG, ENCFF351AFB",,False,False,True,False,False,76,88993686,3248484,2016-10-27T17:53:51.051483+00:00,ENCDO845WKR,tissue_UBERON_0001515,20a2faec5dc1f31318006f079906eaa5
ENCFF388MUS,ENCFF002ECN,,False,False,False,False,False,36,40838571,272710,2016-05-06T18:09:09.968724+00:00,ENCDO000AAB,cell_line_EFO_0002791,d5d60e2e3660923de149e6b4b18b28ca
ENCFF512VDU,"ENCFF148HHK, ENCFF245VNV",,False,False,True,False,False,76,49809600,1482662,2016-10-27T22:00:55.658831+00:00,ENCDO793LXB,tissue_UBERON_0008367,7a80ad903083316d4307bb4ebf9806dd
ENCFF751VDM,ENCFF000VPK,,False,False,False,False,False,36,27468951,1270679,2016-10-26T17:36:18.365674+00:00,ENCDO000AAZ,cell_line_EFO_0001086,1bdc147b798e8a6b8030619d46959fbf
ENCFF982XQW,ENCFF702VBZ,ENCFF048IPJ,True,False,False,False,False,101,54794585,2277169,2016-05-06T18:03:13.636683+00:00,ENCDO271OUW,tissue_UBERON_0000945,9d9abf474a1ae91b8ef82eac8907882b
ENCFF815TQT,ENCFF000ZVV,,False,False,False,False,False,36,30959261,1588174,2016-08-23T23:09:05.982430+00:00,ENCDO000AAD,cell_line_EFO_0002067,fce166df37dc2811ad0312ccc483612d
ENCFF830EHU,ENCFF441YGX,,False,False,False,False,False,36,31776568,1075702,2016-12-19T07:20:53.418193+00:00,ENCDO642MQK,primary_cell_CL_0001059,2ea1639f51bc3b3ab32b14b2ef7fbde3
ENCFF498EYF,ENCFF168MST,ENCFF962SMK,True,False,False,False,False,101,71973100,962418,2016-05-06T18:04:25.051935+00:00,ENCDO000AAD,cell_line_EFO_0002067,10a86300359038564f85391ca032fca9
ENCFF978ZZB,ENCFF743NIF,,False,False,False,False,False,40,41898313,3056987,2016-05-06T18:13:07.175512+00:00,ENCDO000AAC,cell_line_EFO_0001187,af60b517e0f9ffa234437898fffb6dc0
